,Recipe Name,Recipe Author,Recipe Rating,Recipe Review Count,Recipe Tags,Recipe Ingredients,Recipe instructions
0,Mushroom-Farro Soup With Parmesan Broth Recipe - NYT Cooking,Julia Sherman,4,108,"['American', 'Grains And Rice', 'Soups And Stews', 'Vegetables', 'Dried Mushroom', 'Farro', 'Parmesan', 'Shallot', 'Sherry Vinegar', 'Thyme', 'White Wine', 'Dinner', 'Lunch', 'Main Course', 'Fall', 'Winter']","{'cup pearled farro': '1', 'ounce dried mixed mushrooms or dried porcini mushrooms, roughly torn or chopped': '1', 'tablespoon unsalted butter': '1', 'tablespoons extra-virgin olive oil': '4', 'cup minced shallots (from about 5 medium shallots)': '1', 'Kosher salt and freshly ground black pepper': '', 'garlic cloves, minced': '3', 'cups Parmesan broth': '5', 'cup dry white wine': '⅓', 'fresh thyme sprigs': '5', 'cup finely grated Parmesan (about 1 ounce), plus more for garnish': '⅔', 'pound mixed fresh mushrooms (such as beech mushrooms, hen of the woods or oyster mushrooms), roughly torn': '1', 'teaspoons sherry vinegar': '2'}","['Heat oven to 300 degrees and bring a small saucepan of water to a boil. Spread farro out on a baking sheet in a single layer and toast for 20 minutes, stirring once or twice to toast the grains evenly.', 'While farro toasts, place dried mushrooms in a small bowl and cover completely with 1 1/2 cups hot water from the saucepan. Cover the bowl and set aside to hydrate.', 'Place a large Dutch oven over medium-high heat and add the butter and 1 tablespoon olive oil. Once the butter has melted, add the shallots and 1/2 teaspoon salt and sauté until translucent, 3 to 5 minutes. Add the garlic and sauté for 2 minutes, adding a splash of water if necessary to prevent it from scorching.', 'Stir in the toasted farro. Carefully scoop the dried mushrooms from their soaking liquid and add them to the pot. Strain their soaking liquid through a fine-mesh sieve into the pot as well, discarding any grit left in the sieve. Add Parmesan broth, white wine and thyme to the pot and bring to a boil over high.', 'Once liquid boils, lower to a simmer and cook, covered, for 25 minutes. Uncover the pot and continue to cook at an active simmer until the farro is al dente, swimming in a lightly creamy broth, another 25 minutes. Remove from the heat, discard thyme stems and stir in the grated Parmesan. Season with black pepper to taste.', 'When the farro is almost done, cook the fresh mushrooms: Heat 1 1/2 tablespoons olive oil in a large (12-inch) skillet over medium-high. Add half the torn fresh mushrooms, stir to coat, then cook, undisturbed, for 2 minutes. Season with salt and pepper, then cook until the mushrooms are golden and caramelized, 1 to 2 minutes. Transfer the mushrooms to a medium bowl. Repeat with remaining 1 1/2 tablespoons oil and remaining fresh mushrooms, transferring cooked mushrooms to bowl. Stir 2 teaspoons vinegar into cooked mushrooms; season to taste.', 'To serve, ladle soup into shallow bowls. Top with seared mushrooms and extra Parmesan, to taste.']"
1,Beans and Garlic Toast in Broth Recipe - NYT Cooking,Tejal Rao,4,488,"['Beans', 'Dried Bean', 'Garlic', 'Parmesan', 'Sourdough', 'Dinner', 'Lunch', 'Weeknight', 'Main Course', 'Vegetarian']","{'cup dried beans, such as cannellini or cranberry': '1', 'small onion, peeled': '1', 'garlic cloves, peeled': '2', 'Up to 4 ounces Parmesan rinds': '', 'tablespoons extra-virgin olive oil': '2', 'teaspoon kosher salt': '1', 'thick slices crusty sourdough bread': '4', 'Extra-virgin olive oil': '', 'garlic clove, peeled': '1', 'tablespoons parsley leaves, chopped': '2', 'tablespoon marjoram leaves, chopped': '1', 'Flaky sea salt, finely grated Parmesan and freshly ground black pepper, for serving': ''}","['If you remember, soak the beans in cold water overnight, or for 10 to 12 hours. Rinse beans, and place in a large heavy-bottomed pot with onion, garlic, Parmesan rinds, olive oil and salt. Cover beans with water, so the water level is a couple of inches above the beans, and bring to a boil, then turn heat down so it’s simmering gently. Put a lid on the pot, and cook until beans are tender, adding more water as needed to keep the beans submerged. This could take 1 to 2 hours or more, depending on the beans and whether or not you soaked them. (If you’re using an electric pressure cooker: Add 5 cups water, set the machine to high pressure and cook for 25 minutes, then allow the machine to slowly depressurize on its own.)', 'Use a spoon to fish out the onion, garlic and cheese rinds; discard. Taste a couple of beans along with the broth. It should be opaque and slightly creamy; adjust the seasoning with more salt if needed.', 'Brush both sides of each piece of bread with olive oil, and place on a foil-lined sheet pan. Run the pan under the broiler for 2 minutes, so the bread is crisp at the edges and nicely toasted, then flip bread and repeat. While the bread is still hot, rub a garlic clove along one side of each piece, as if you were grating the garlic on the bread, pushing just firmly enough for the clove to fray and dissolve slightly into the bread.', 'To assemble, place a piece of bread at the bottom of four wide, shallow bowls and ladle hot beans and broth on top. Wait a few seconds for the bread to absorb some broth, then ladle a little extra on each one, so it’s swimming. Garnish the bowls generously: Drizzle olive oil all over the beans, sprinkle with herbs and flaky sea salt, cover with finely grated Parmesan and grind a little black pepper on top.']"
2,Easiest Lentil Soup Recipe - NYT Cooking,Melissa Clark,4,892,"['Soups And Stews', 'Lentil', 'Radicchio', 'Thyme', 'Dinner', 'Lunch', 'Weekday', 'Main Course', 'Fall', 'Winter', 'Vegan', 'Vegetarian']","{'tablespoons extra-virgin olive oil, plus more as needed': '6', 'large onion, diced': '1', 'teaspoons kosher salt, plus more as needed': '1 ½', 'quart chicken, beef or vegetable stock, preferably homemade': '1', 'cup brown or green lentils, rinsed': '1', 'thyme or rosemary sprigs': '2', 'garlic cloves, finely grated or pushed through a garlic press': '1 to 2', 'teaspoon white-wine, sherry or cider vinegar, or lemon or lime juice, plus more to taste': '1', 'cup thinly sliced radicchio, or red or green cabbage (optional)': '½', 'cup parsley leaves, chopped': '½', 'Toppings (see Tip)': ''}","['Heat 1/4 cup oil in a medium pot over medium-high heat. Stir in onions and 1/2 teaspoon salt, and cook until onions start to brown at the edges, stirring frequently, 6 to 9 minutes.', 'Stir in stock, lentils, thyme and remaining 1 teaspoon salt. Bring to a simmer, cover, and cook until lentils are tender, 30 to 40 minutes. Discard thyme sprigs.', 'Stir in garlic, and remaining 2 tablespoons oil, and use an immersion blender to purée the soup to the desired consistency, keeping it chunky or making it smooth. (Alternatively, ladle it into a blender and blend in batches.) Stir in vinegar, then taste and add more salt and vinegar if needed.', 'In a small bowl, toss radicchio, if using, and parsley with a drizzle of oil and a sprinkle of salt. To serve, ladle soup into bowls and top with a small mound of radicchio and parsley, and/or any other garnishes you like.']"
3,Parmesan Broth Recipe - NYT Cooking,Julia Sherman,4,71,"['American', 'Soups And Stews', 'Bay Leaves', 'Garlic', 'Olive Oil', 'Parmesan', 'Parsley', 'Thyme', 'Yellow Onion', 'Appetizer', 'Side Dish', 'Fall', 'Winter']","{'tablespoons extra-virgin olive oil': '3', 'large (skin-on) yellow onion, quartered from tip to tip': '1', 'whole head garlic, cut in half crosswise': '1', 'pound Parmesan rinds (about 5 large rinds)': '¾', 'fresh parsley sprigs': '15', 'fresh thyme sprigs': '8', 'teaspoons whole black peppercorns': '2', 'dried bay leaves': '2'}","['In a large Dutch oven or heavy pot, heat the oil over medium. Add onion quarters and halved garlic, and cook, flat-side down, until the onion and garlic are lightly brown, about 3 minutes. Add Parmesan rinds, parsley, thyme, peppercorns, bay leaves and 12 cups water; bring to a boil.', 'Once the water comes to a boil, reduce to a simmer. Partly cover and cook, stirring occasionally to prevent the cheese from sticking to the bottom of the pot, until broth is cloudy and tastes strongly like Parmesan, 2 1/2 hours.', 'Strain the broth through a fine-mesh sieve, pressing the vegetables and cheese rinds to extract as much liquid as possible. Let cool, then store the broth in the refrigerator up to 1 week or the freezer up to 3 months.']"
4,Potato Gratin With Swiss Chard and Sumac Onions Recipe - NYT Cooking,Yotam Ottolenghi,4,34,"['Casseroles', 'Vegetables', 'Cheddar', 'Lemon', 'Onion', 'Parsley', 'Sumac', 'Swiss Chard', 'Yukon Gold Potato', 'Dinner', 'Lunch', 'Main Course', 'Side Dish', 'Spring', 'Winter', 'Vegetarian']","{'cup/60 milliliters olive oil': '¼', 'pounds/680 grams red onions, peeled, halved and sliced about 1-centimeter thick': '1 ½', 'Kosher salt': '', 'tablespoons dried sumac': '1 ½', 'pounds/1.1 kilograms (skin-on) Yukon Gold potatoes, sliced using a mandoline or very thinly sliced into rounds': '2 ½', 'pounds/800 grams green Swiss chard, leaves torn from stems (stems reserved for another use) and roughly shredded (about 6 packed cups/315 grams)': '1 ¾', 'cup/30 grams roughly chopped fresh parsley, plus 2 tablespoons/5 grams finely chopped parsley for garnish': '⅔', 'garlic cloves, minced': '6', 'teaspoons finely grated lemon zest, plus 1/4 cup juice (from 2 lemons)': '2', 'Kosher salt and freshly ground black pepper': '', 'ounces/225 grams mature Cheddar, roughly grated (about 3 cups)': '8', 'cup/240 milliliters chicken or vegetable stock': '1', 'tablespoons heavy cream (double cream)': '3', 'tablespoons/30 grams unsalted butter': '2', 'cup/65 grams pine nuts': '½'}","['Heat oven to 375 degrees Fahrenheit/180 degrees Celsius.', 'Prepare the onions: Add the oil to a large, ovenproof lidded skillet and heat over medium-high. Add the onions and 1 teaspoon salt to the hot oil and cook, stirring occasionally, until softened and browned, 15 to 20 minutes. Stir in the sumac and remove from the heat. Transfer the mixture to a bowl.', 'Prepare the gratin: Add the potatoes, shredded chard, parsley, garlic, lemon zest, 1 tablespoon salt and 1 teaspoon pepper to a large bowl and mix well to combine. Fold through three-quarters of the sumac onions and half the cheese, then transfer everything to the skillet, smoothing out the top to even out the potato slices. In a measuring cup or bowl, combine the stock, cream and lemon juice, and pour this all over the potato mixture. Cover tightly with foil, then top with the lid. Bake for 1 hour.', 'Remove the gratin from the oven, and remove the lid and foil. Sprinkle evenly with the remaining cheese and bake, uncovered, until golden and bubbling, 35 to 40 minutes. Remove from heat and let gratin settle for 10 minutes.', 'Meanwhile, prepare the pine nuts: Add the butter to a medium skillet and melt over medium-high heat. Once melted, add the pine nuts and 1/4 teaspoon salt and cook, stirring occasionally, until the nuts are golden and the butter has browned, 2 to 3 minutes. Add the buttered nuts to the bowl with the remaining sumac onions.', 'When ready to serve, stir the extra parsley into the sumac onion mixture and spoon this all over the gratin.']"
5,Braised Fennel With White Bean Purée Recipe - NYT Cooking,Julia Sherman,5,5,"['American', 'Beans', 'Vegetables', 'Fennel', 'Garlic', 'Parmesan', 'Shallot', 'White Bean', 'Dinner', 'Main Course', 'Fall', 'Winter']","{'(15-ounce) cans white beans, rinsed': '2', 'cups Parmesan broth, or chicken or vegetable stock': '2 ½', 'garlic cloves, thinly sliced': '2', 'teaspoon kosher salt': '½', 'teaspoon cracked white pepper, plus more to finish': '¼', 'medium or large fennel bulbs, stalks trimmed, tender fronds reserved': '2', 'tablespoons extra-virgin olive oil': '3', 'tablespoon unsalted butter': '1', 'large shallots, peeled, tops and root ends trimmed, then halved lengthwise': '4', 'Generous pinch of dried ground sage': '', 'teaspoon red-pepper flakes': '⅛', 'cup Parmesan broth': '1', 'lemon, juiced (about 1 1/2 tablespoons)': '½'}","['Prepare the bean purée: Add the beans, 2 1/2 cups Parmesan broth, garlic, salt and white pepper to a small saucepan and bring to a boil. Reduce to an active simmer and cook 20 minutes, until there is only about 1/4 inch of broth covering the beans. Let cool slightly, then transfer to a blender and purée until smooth, creamy and spoonable. Set aside and cover to keep warm.', 'Prepare the braised fennel: Slice the fennel in half lengthwise, and cut each half lengthwise into 3 equal wedges. Add 2 tablespoons olive oil and the butter to a large skillet over medium-high heat. When the butter is melted, add the fennel wedges in a single layer, cut-side down. Sear until golden brown, about 5 minutes. Flip and cook on the opposite cut side for 3 to 5 minutes. (If your fennel doesn’t all fit in the pan, cook the remaining pieces with the shallots in the next step. Do not crowd the pan.) Transfer the cooked fennel to a plate.', 'Add the remaining 1 tablespoon olive oil and cook the shallots on their flat side for 2 minutes. Flip and cook for another 2 to 3 minutes until they have a nice sear. Lower the heat if it starts to smoke.', 'Return the fennel to the pan, season with kosher salt, sage and red-pepper flakes. Add 1 cup Parmesan broth, cover and reduce the heat to medium. Cook for 10 minutes, stirring once or twice and being sure to scrape the bottom of the pan, until the vegetables are just tender but cooked through. Remove from heat and stir in lemon juice.', 'Divide the bean purée among shallow bowls, spreading it in an even layer, and season with another crack of white pepper. Top with braised vegetables and spoon the sauce over top. Garnish with tender fennel fronds and serve.']"
6,Cold-Fashioned Recipe - NYT Cooking,Robert Simonson,0,0,"['American', 'Cocktails', 'Coffee Liqueur', 'Irish Whiskey', 'Orange Bitters']","{'Ice, as needed': '', 'ounces Irish whiskey, preferably Knappogue 12 Year Single Malt': '1 ¼', 'ounce Mr. Black Cold Brew coffee liqueur': '½', 'dashes orange bitters': '3', 'Fresh orange peel, for garnish': ''}","['Fill a mixing glass halfway with ice. Add whiskey, coffee liqueur and bitters; stir until chilled, about 15 seconds.', 'Strain into a rocks glass filled with one large ice cube. Garnish with an orange peel.']"
7,NoMad Espresso Martini Recipe - NYT Cooking,Robert Simonson,0,0,"['American', 'Cocktails', 'Aquavit', 'Coffee', 'Coffee Liqueur', 'Vodka']","{'ounce Mr. Black Cold Brew coffee liqueur': '1', 'ounce cold brew concentrate, such as Stumptown': '¾', 'ounce vodka': '¾', 'ounce aquavit, preferably Linie': '½', 'Scant 1/2 ounce cane syrup': '', 'drops saline solution (1 part kosher salt to 100 parts water), or a small dash of kosher salt': '5'}","['Combine ingredients in a cocktail shaker half filled with ice. Shake until chilled, about 15 seconds. Strain into a chilled coupe glass. No garnish.']"
8,Japanese-Style Tuna Noodle Salad Recipe - NYT Cooking,Sam Sifton,4,533,"['Noodles', 'Salads And Dressings', 'Seafood', 'Noodle', 'Scallion', 'Seaweed', 'Sesame Oil', 'Sesame Seed', 'Soy Sauce', 'Tuna', 'Dinner', 'Weeknight', 'Main Course']","{'cup cut dried wakame seaweed': '¼', 'ounces dried udon noodles (or whatever noodles you have on hand)': '8', 'tablespoons furikake or sesame seeds': '1 to 2', 'ounces tuna in oil, drained': '10 to 12', 'scallions, trimmed and thinly sliced': '2', 'tablespoons sesame oil': '2', 'tablespoons canola oil': '2', 'tablespoons rice wine vinegar': '2', 'tablespoon mirin': '1', 'tablespoon soy sauce': '1', 'teaspoon sweet miso': '1'}","['Bring a large pot of water to a boil over high, and set the wakame in a small bowl. Once the water comes to a boil, ladle or pour enough over the wakame to cover it by 2 inches; let the wakame soak for 10 minutes. Transfer the wakame to a colander to drain and cool; set aside.', 'While the wakame soaks, cook the noodles according to the package instructions.', 'Meanwhile, prepare the dressing: In a measuring cup or bowl, whisk to combine the sesame oil, canola oil, rice wine vinegar, mirin, soy sauce and miso; set aside.', 'In a small skillet, lightly toast the sesame seeds, if using, over medium-low heat until fragrant; set aside.', 'Drain the cooked noodles in the colander, then transfer to a wide, shallow serving bowl. Add the wakame and about 3/4 of the dressing, and toss to coat. Divide the noodles among 4 bowls. Top each portion with tuna, drizzle with the remaining dressing, then sprinkle with the scallions and furikake or sesame seeds. Serve hot, cold or anywhere in between.']"
9,Toor Dal (Split Yellow Pigeon Peas) Recipe - NYT Cooking,Tejal Rao,4,183,"['Indian', 'Soups And Stews', 'Cinnamon', 'Curry Leaves', 'Ghee', 'Tomato', 'Turmeric', 'Yellow Pigeon Pea', 'Dinner', 'Main Course', 'Side Dish', 'Vegetarian']","{'cup toor dal (split yellow pigeon peas)': '1', 'Roma tomatoes, roughly chopped': '2', 'teaspoon ground turmeric': '¼', 'teaspoon kosher salt': '½', 'cup raw whole peanuts': '¼', 'cup/55 grams ghee': '¼', 'sprig fresh curry leaves': '1', 'small pieces Indian cinnamon or 1 cinnamon stick': '3', 'red dried chiles, such as chile de árbol': '3', 'cloves': '3', 'teaspoon black mustard seeds': '¼', 'Pinch of asafoetida': ''}","['Prepare the dal: Soak the pigeon peas in a large bowl of warm water for about 1 hour. (They will have swelled a little.)\xa0Thoroughly rinse the soaked pigeon peas with fresh water, then tip the drained pigeon peas into a pot.', 'Add tomatoes, turmeric, salt and 5 cups water, and bring to a boil over high. Reduce the heat to medium and simmer until very tender, 25 to 30 minutes.', 'Use an immersion blender to purée some of the dal, leaving some intact and getting some very smooth, or whisk vigorously to break up some of the soft dal.\xa0Stir in the peanuts and continue to simmer, stirring occasionally, until the dal is very tender, about 30 minutes. Taste and adjust with salt. If the dal has become too thick for your liking, stir in a splash of water.', 'Prepare the tempering: In a small saucepan over medium heat, warm the ghee. When hot, carefully add all of the tempering ingredients (the mustard seeds will sputter!) and swirl the pan until you can smell all the toasted spices, about 30 seconds. Pour everything over the hot dal.']"
